evaluation_id,work_id,rater_id,criterion_id,status,score
EVALUATION-SYNTHETIC-A,WORK-SYNTHETIC-A,RATER-SYNTHETIC-1,question_scope,rated,3
EVALUATION-SYNTHETIC-A,WORK-SYNTHETIC-A,RATER-SYNTHETIC-2,question_scope,rated,4
EVALUATION-SYNTHETIC-A,WORK-SYNTHETIC-A,RATER-SYNTHETIC-1,literature_contribution,rated,2
EVALUATION-SYNTHETIC-A,WORK-SYNTHETIC-A,RATER-SYNTHETIC-2,literature_contribution,rated,3
EVALUATION-SYNTHETIC-A,WORK-SYNTHETIC-A,RATER-SYNTHETIC-1,method_design,rated,3
EVALUATION-SYNTHETIC-A,WORK-SYNTHETIC-A,RATER-SYNTHETIC-2,method_design,rated,3
EVALUATION-SYNTHETIC-A,WORK-SYNTHETIC-A,RATER-SYNTHETIC-1,analysis_claims,rated,2
EVALUATION-SYNTHETIC-A,WORK-SYNTHETIC-A,RATER-SYNTHETIC-2,analysis_claims,rated,3
EVALUATION-SYNTHETIC-A,WORK-SYNTHETIC-A,RATER-SYNTHETIC-1,transparency_integrity,rated,3
EVALUATION-SYNTHETIC-A,WORK-SYNTHETIC-A,RATER-SYNTHETIC-2,transparency_integrity,rated,3
EVALUATION-SYNTHETIC-B,WORK-SYNTHETIC-B,RATER-SYNTHETIC-1,question_scope,rated,2
EVALUATION-SYNTHETIC-B,WORK-SYNTHETIC-B,RATER-SYNTHETIC-2,question_scope,rated,2
EVALUATION-SYNTHETIC-B,WORK-SYNTHETIC-B,RATER-SYNTHETIC-1,literature_contribution,rated,3
EVALUATION-SYNTHETIC-B,WORK-SYNTHETIC-B,RATER-SYNTHETIC-2,literature_contribution,rated,2
EVALUATION-SYNTHETIC-B,WORK-SYNTHETIC-B,RATER-SYNTHETIC-1,method_design,rated,2
EVALUATION-SYNTHETIC-B,WORK-SYNTHETIC-B,RATER-SYNTHETIC-2,method_design,rated,3
EVALUATION-SYNTHETIC-B,WORK-SYNTHETIC-B,RATER-SYNTHETIC-1,analysis_claims,missing,
EVALUATION-SYNTHETIC-B,WORK-SYNTHETIC-B,RATER-SYNTHETIC-2,analysis_claims,rated,2
EVALUATION-SYNTHETIC-B,WORK-SYNTHETIC-B,RATER-SYNTHETIC-1,transparency_integrity,not_applicable,
EVALUATION-SYNTHETIC-B,WORK-SYNTHETIC-B,RATER-SYNTHETIC-2,transparency_integrity,not_applicable,
